WARDS,War_Code,Cattle_2014,Sheep_2014,Pigs_2014,Poultry_2014,Cattle_2013,Sheep_2013,Pigs_2013,Poultry_2013,Cattle_2012,Sheep_2012,Pigs_2012,Poultry_2012,Cattle_2011,Sheep_2011,Pigs_2011,Poultry_2011,Cattle_2010,Sheep_2010,Pigs_2010,Poultry_2010,Cattle_2009,Sheep_2009,Pigs_2009,Poultry_2009,Cattle_2008,Sheep_2008,Pigs_2008,Poultry_2008,Cattle_2007,Sheep_2007,Pigs_2007,Poultry_2007,Cattle_2006,Sheep_2006,Pigs_2006,Poultry_2006,Cattle_2005,Sheep_2005,Pigs_2005,Poultry_2005,Cattle_2004,Sheep_2004,Pigs_2004,Poultry_2004,Cattle_2003,Sheep_2003,Pigs_2003,Poultry_2003,Cattle_2002,Sheep_2002,Pigs_2002,Poultry_2002,Cattle_2001,Sheep_2001,Pigs_2001,Poultry_2001,Cattle_2000,Sheep_2000,Pigs_2000,Poultry_2000,Cattle_1999,Sheep_1999,Pigs_1999,Poultry_1999
DUNSEVERICK,95UU07,6094,7213,3260,40300,6277,7069,2666,35635,6238,7374,2578,38900,6289,6916,2521,40012,6395,6845,1543,24800,5967,6893,1543,35300,6452,7133,1154,25810,5114,14461,789,33700,4852,13372,1706,9538,5878,6827,2794,20,5495,7438,1898,19023,5525,7887,3362,19008,5596,8010,3729,15,5353,8089,3776,14,5384,10697,0,0,5599,12516,0,0
EAST,95ZZ06,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBRINGTON,95MM14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDEN,95HH06,1064,3177,0,100,1070,3655,0,100,1027,3994,0,100,970,3608,0,100,1098,3297,0,5200,1001,3390,0,700,1048,3876,0,5280,1204,3182,0,0,1023,3208,0,0,1263,3090,0,175,1305,2734,0,152,1417,2672,0,149,1629,3355,0,202,1726,2545,0,229000,1738,2470,0,220,1662,3002,0,263
EDENDERRY,95FF07,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,158,0,0,0
EDENDERRY,95LL15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGLINTON,95MM15,2774,3718,0,0,2586,3620,0,0,2761,4384,0,0,2707,4359,0,0,2601,4258,0,0,2563,4451,0,0,2283,4796,0,0,2979,5137,0,0,2937,5853,0,16009,2919,5731,0,5,2854,5563,0,11,2792,5460,0,5,3101,6522,0,5,2915,5749,0,5,2784,5799,0,0,3051,8183,0,0
ENAGH,95MM16,1712,933,0,0,1669,2173,0,0,919,2231,0,0,1672,2291,0,0,1539,2341,0,0,1615,2033,0,0,1655,2216,0,0,1057,1766,0,0,991,1531,0,22,1659,1990,0,0,1810,1919,0,0,1813,4370,0,0,1787,4199,0,0,1854,3699,0,0,1977,3355,0,0,1814,3667,0,0
ENAGH,95RR05,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENLER,95II10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
