WARDS,War_Code,Cattle_2014,Sheep_2014,Pigs_2014,Poultry_2014,Cattle_2013,Sheep_2013,Pigs_2013,Poultry_2013,Cattle_2012,Sheep_2012,Pigs_2012,Poultry_2012,Cattle_2011,Sheep_2011,Pigs_2011,Poultry_2011,Cattle_2010,Sheep_2010,Pigs_2010,Poultry_2010,Cattle_2009,Sheep_2009,Pigs_2009,Poultry_2009,Cattle_2008,Sheep_2008,Pigs_2008,Poultry_2008,Cattle_2007,Sheep_2007,Pigs_2007,Poultry_2007,Cattle_2006,Sheep_2006,Pigs_2006,Poultry_2006,Cattle_2005,Sheep_2005,Pigs_2005,Poultry_2005,Cattle_2004,Sheep_2004,Pigs_2004,Poultry_2004,Cattle_2003,Sheep_2003,Pigs_2003,Poultry_2003,Cattle_2002,Sheep_2002,Pigs_2002,Poultry_2002,Cattle_2001,Sheep_2001,Pigs_2001,Poultry_2001,Cattle_2000,Sheep_2000,Pigs_2000,Poultry_2000,Cattle_1999,Sheep_1999,Pigs_1999,Poultry_1999
KILREA,95JJ12,2877,3427,2417,14000,3180,3263,1974,26220,3317,3238,1998,41752,3345,3068,1634,14000,3463,3196,1912,47000,3336,2896,1235,17000,3516,3130,1292,16850,3815,5218,0,4200,3539,5410,0,4400,3070,3015,1304,19614,3301,3039,1261,18628,3213,3164,1439,18541,3227,2919,1263,17513,3313,3912,1209,28631,3284,3997,0,29161,3472,4118,0,0
KILWAUGHTER,95QQ14,9470,22648,3992,39800,9189,23745,3684,46193,10152,25617,2798,84820,9620,26198,2549,83601,9918,25980,2521,39000,9902,28230,2750,0,10358,27679,1419,81390,9488,29416,367,12475,9494,30489,158,5370,11018,27827,315,45836,10771,27600,440,44726,10931,27574,657,44771,11707,29387,1538,47413,10960,28019,1203,43352,9788,28766,0,52378,11530,32970,1655,99973
KILWEE,95SS16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KINBANE,95UU13,3208,8806,0,0,3153,9039,0,0,3372,9142,0,0,3387,8713,0,0,3301,8141,0,0,3647,8443,0,0,3267,9194,0,0,2614,9498,0,0,2690,9651,0,226,4150,11137,0,60,4068,10840,0,60,4260,11626,0,60,4303,12321,0,69,4237,13080,0,46,4752,14706,0,0,4274,13495,0,1369
KIRCUBBIN,95BB15,9048,1995,0,80484,8885,2026,25,56642,8693,2106,8,27150,8382,1708,5,23752,8163,2137,27,75050,8184,2147,27,59500,8237,2192,3,48220,5716,3052,0,3550,6035,3047,0,330,8184,2234,0,58754,8231,1865,0,18400,7934,2138,0,51300,8060,2223,0,50456,8217,2601,0,58378,7535,2754,0,59122,8210,2337,0,57622
KNOCK,95GG30,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNOCKAGH,95HH10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNOCKAHOLET,95EE11,7255,11075,24,49948,7164,12032,741,92319,7275,12750,1097,69030,7116,13229,1213,38302,6967,10796,906,44500,7271,10710,913,49500,7325,11215,1081,39410,6925,6923,805,37145,6732,5957,3,60244,7383,9718,2100,61919,7595,10085,2074,62140,7405,10083,2670,66223,7749,10123,3062,77580,7529,11976,3104,48352,6653,11990,0,61705,7182,14273,0,52661
KNOCKBRACKEN,95II15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNOCKCLOGHRIM,95TT07,6090,3649,2249,0,6009,3509,2291,0,5974,3442,2002,0,6059,3219,2002,0,6101,3150,2217,0,6364,2967,2022,920,6367,2853,1884,1070,5324,8288,404,0,5139,8845,538,72046,6741,4060,1889,10037,7168,4262,1766,9028,6966,4484,2036,10048,6965,3988,2041,9058,6992,5152,1739,8058,6660,5681,1898,0,7387,5561,2141,0
KNOCKLAYD,95UU14,384,5721,0,0,400,6664,0,5300,444,6665,0,6000,364,6907,0,5000,408,6553,0,0,377,6694,0,0,360,6443,0,0,344,3036,0,0,347,2879,0,0,314,4464,0,0,335,4805,0,0,368,4589,0,0,401,4448,0,0,308,5128,0,0,322,5373,0,0,324,5529,0,0
KNOCKLYNN,95JJ13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNOCKMORE,95SS17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,433,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNOCKNASHANE,95LL18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,124,129,0,0,132,0,0,56,113,0,0,53,115,0,0,50,134,0,0,66,135,0,0,66,0,0,0,0,123,0,0,0
LADYBROOK,95GG31,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAGAN VALLEY,95SS18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMBEG,95SS19,525,0,0,0,504,2,0,0,482,38,0,0,496,25,0,0,436,6,0,0,352,0,0,0,399,0,0,0,474,0,0,0,616,0,0,0,359,0,0,0,528,0,0,0,507,0,0,0,393,0,0,0,386,0,0,0,0,0,0,0,411,0,0,0
LAURELVALE,95CC14,1759,457,9572,7200,1356,213,9902,16500,1446,170,5433,27986,1348,168,5431,27986,1483,187,5753,2500,1794,251,6800,27650,1938,333,6800,21000,1938,2208,0,33100,1778,2027,0,6,2034,833,5802,23565,1902,804,6513,24144,2027,732,3495,23079,2056,489,3363,10179,1987,1084,664,9059,2955,977,0,14061,2011,1098,0,0
LAWRENCETOWN,95FF12,4086,1694,0,50000,3376,1478,0,0,3700,1576,1,0,3236,1273,0,113,3275,1465,0,13800,3427,1151,0,11320,3376,1280,0,9540,4285,3086,1388,0,4379,2962,1565,106,3909,1727,64,48062,3894,1910,69,52038,4342,2094,47,49057,4021,2052,31,4207,4076,3508,80,239,4020,3597,0,4240,4478,2576,0,49035
LECUMPHER,95TT08,9427,7548,6284,17950,9566,7922,10345,18850,9484,8334,7209,18945,9540,7551,10185,79391,9539,7302,9646,74060,9477,7757,9783,68680,9360,7352,9903,98980,8299,8992,6958,72000,8054,10159,6116,4715,11114,11279,7954,8000,11428,10906,8881,30796,11700,11339,10435,16829,10416,11742,5746,41167,10975,12052,8387,107615,11137,13850,8438,139680,10358,14470,9037,123568
LEGONIEL,95GG32,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,573,67,0,9000,542,72,0,10009,948,41,0,10,951,43,0,41,908,43,0,11,935,0,0,6,1393,275,0,18,1288,0,0,0,1394,0,0,0
LISANELLY,95YY15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,520,10,0,63000,563,10,0,69012,289,239,0,0,144,52,0,0,148,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LISBANE,95BB16,3692,5909,17,0,3851,6200,0,110,4121,6881,3,110,3960,7048,2,90,4218,6527,0,120,4065,6620,0,360,4605,7212,0,560,6644,3912,8,0,6410,3579,8,230,3806,5790,0,937,3829,5583,0,3000,3881,5544,3,3000,3694,6563,3,3000,3896,6189,3,3000,4235,6712,0,1523,4106,7316,0,4826
LISBELLAW,95PP15,8367,2448,0,0,7689,2563,0,0,7423,2423,0,0,6993,1594,0,0,7296,1498,0,0,7613,1662,3,70,7636,2237,3,70,7006,4624,12,0,6739,4821,0,116,8367,2797,0,179,8832,2791,0,237,8204,2683,0,219,8007,2734,0,243,7956,3393,0,235,7666,3441,0,283,8163,4096,0,4130
LISNACREE,95VV20,6179,21248,1214,23575,6159,20438,1291,24495,6119,20647,1197,20596,6367,19930,889,21086,6116,20197,853,21700,6215,21026,853,15500,6023,21644,944,22390,9205,17694,3896,112368,9108,18508,3819,151336,6248,23446,611,13853,6336,25001,625,12807,6280,24901,652,12847,6684,26131,592,15311,6266,26081,749,15387,6088,26953,0,15441,6107,28772,0,15554
LISNAGARVY,95SS20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LISNAGELVIN,95MM20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LISNARRICK,95PP16,6900,6373,4,18000,7136,5869,1,40812,7899,5649,40,18500,7456,5587,43,32670,7548,6525,18,0,8175,6298,24,16060,7802,6098,18,50,5762,4943,3,8010,5647,4651,0,31555,7059,7892,16,24220,7469,6529,0,23205,7689,5955,0,24273,7875,5097,0,23206,8737,5547,0,16101,6784,5447,0,16048,9465,9134,0,21120
LISNASHARRAGH,95II16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LISNASKEA,95PP17,298,181,0,0,233,159,0,0,211,179,0,0,239,172,0,0,236,148,0,0,690,773,0,0,749,727,0,0,436,909,0,0,464,886,3,0,390,363,0,21,389,335,0,4,472,426,0,0,471,704,0,0,464,247,0,0,712,0,0,0,793,619,0,0
LISSAN,95KK07,9587,14156,14285,71670,9752,13806,13380,134645,9776,14674,9850,126355,9898,14748,10947,101481,10116,14286,11253,120960,9512,14410,11236,84430,9352,15161,5965,119380,9315,12661,7957,114368,8826,12294,7052,44427,8894,11862,4526,54525,8473,12441,5638,54619,8598,11759,4719,65917,8498,12433,7891,70945,8277,12493,6140,83003,8103,13433,5687,65368,8917,14945,10285,68913
LOUGHBRICKLAND,95FF13,8054,5279,1454,5500,7759,5145,1242,0,8112,4018,2153,0,8182,3766,2256,0,7519,3346,1299,0,7969,3352,785,0,7021,3166,764,8500,7249,8031,1814,0,7438,8034,1609,135,8141,2901,835,8237,8176,3192,1161,17134,8297,3968,1546,16187,7053,3178,3315,33106,7824,6084,3912,38104,7224,7417,3100,20070,6436,6000,3743,36094
LOUGHGALL,95CC15,3403,2465,6,32600,3200,2503,2,30500,3347,2413,16,30760,3563,1747,2,92000,3320,1300,0,49500,3674,1542,3,62200,3375,1129,3,31000,4077,3828,2989,103900,3883,3976,2972,26067,2897,798,27,69961,3013,1379,11,162558,2960,910,6,174285,2869,1042,3,78549,2902,1691,11,71049,3139,1746,0,86585,3420,1998,236,83307
LOUGHRIES,95BB17,3291,1611,1,0,3270,1533,0,0,3387,1699,4,0,3411,1648,5,0,3749,1340,5,0,2886,1521,3,0,3342,1304,0,0,3097,1389,0,15,3084,1419,0,59,3103,1066,0,210,3094,1362,0,213,3267,1334,0,308,3176,2310,0,312,3265,2695,0,186,2000,2685,0,0,3141,2759,0,0
LOUGHVIEW,95XX20,816,0,0,0,834,0,0,0,124,0,0,0,901,0,0,0,808,39,0,0,782,39,0,0,8538,39,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,68,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOVE LANE,95HH11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOWER BRANIEL,95II17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOWER GLENSHANE,95TT09,4681,36494,0,97740,5042,37173,0,98030,5414,37799,0,101550,5266,37009,0,87001,5085,35954,3,93500,4991,37524,3,92600,4799,39713,3,6000,9995,27259,15724,84628,9968,29649,16359,90101,5300,43845,0,5752,5049,47140,0,6205,5088,48088,0,5952,4976,46142,11,6142,5182,54230,3,5374,5485,58705,0,65180,5302,57080,0,6141
MACOSQUIN,95JJ14,9211,10225,2796,67000,8882,9479,2546,68000,8715,9699,2504,35000,8280,9771,2678,34950,8526,9356,2412,34950,8257,10694,2330,36400,8937,10670,2036,0,8305,11940,1722,58050,7617,12712,792,62269,8803,12026,2584,42141,9101,11727,2582,44176,8499,11516,2351,41823,9091,12703,2238,25562,8594,14206,2130,25267,10045,15482,0,50835,10021,15739,0,44661
MAGHABERRY,95SS21,3907,1306,3700,104540,4159,1579,3303,40460,4082,1569,2,30780,4039,1127,2881,38600,3921,1039,2634,38100,3785,551,2557,38770,4411,781,2595,69330,5238,2469,822,103620,4804,2466,835,99697,4774,1712,2148,195641,5359,1758,2537,207970,5210,1733,2025,200290,5422,850,1944,115999,5576,2045,1946,112199,5612,1179,0,162367,5643,1606,0,110558
MAGHERA,95TT10,268,927,0,0,287,303,0,0,273,306,0,0,299,306,0,0,348,306,0,0,336,333,0,0,330,333,0,0,573,632,0,0,527,688,0,6,278,409,0,0,218,412,0,0,244,434,0,0,238,456,0,0,110,277,0,0,74,0,0,0,145,0,0,0
MAGHERALAVE,95SS22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGHERALIN,95LL19,2747,220,2355,20789,2769,220,2229,20700,2527,252,1960,14719,2793,328,2481,19500,2974,357,1108,0,3076,445,1057,19500,3356,471,1037,0,1703,2614,3,0,1673,2573,0,17,3259,629,852,26,3457,585,0,26,3472,585,904,50,3947,895,900,50,3664,1075,903,50,9225,0,0,75139,3841,1084,0,0
MAGILLIGAN,95RR11,5339,11579,5,0,5235,12047,85,4,5664,11221,240,4,5854,11049,0,159,6017,10237,0,0,5556,9677,0,0,5290,10531,0,80,4534,9057,7,0,4647,8521,13,85,6481,11415,0,15074,6172,11743,0,15091,5917,12499,0,16121,5869,13022,0,16113,5481,14162,0,16104,5686,14774,0,0,6001,20114,0,0
MAGUIRES BRIDGE,95PP18,12068,9891,0,3001,12482,8639,0,18834,13374,9907,41,20562,12833,10013,29,20561,13088,9685,97,5750,13298,9909,92,17120,13344,9445,56,34060,11837,13789,1938,11500,11962,14279,985,31691,12816,8505,31,305,12230,8174,31,283,12663,8100,95,202,12894,7235,96,220,12627,8645,65,220,13257,9775,0,257,13343,9635,0,239
MALLUSK,95WW20,1371,481,950,0,1487,506,1270,0,1666,506,1400,0,1368,455,901,0,1353,497,512,0,1757,1120,452,0,2068,956,1102,0,2409,986,0,58000,2517,981,0,58087,2376,1026,400,12,2859,696,730,20,3218,508,260,39,2547,178,120,39,3091,1037,168,46,2477,995,0,0,2474,1251,0,0
MALONE,95GG33,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARKETHILL,95CC16,4618,4211,0,133852,4562,4150,0,145952,4892,4220,0,118452,4832,4084,1,123201,5001,3710,0,79800,4988,3982,0,71420,5103,4124,0,151200,4463,2036,2288,129050,4388,1918,2575,96460,4462,5321,3740,121816,4672,5418,3043,135513,4652,5362,2603,138303,5083,5946,2576,133812,5063,5821,2665,133506,5155,6518,3870,111916,5387,7309,4781,133237
MASSEREENE,95AA11,3,3,3,3,506,115,0,0,540,115,0,0,496,177,0,1,533,246,0,0,479,246,0,0,571,242,0,10000,757,331,0,0,743,219,0,0,3,3,3,3,0,0,0,0,1000,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAYOBRIDGE,95VV21,9435,12906,97,124404,9602,13000,1523,14300,9769,14053,1554,49400,9671,12360,1405,249500,9605,11938,1717,109700,9143,12013,1523,158200,9817,12854,3,33500,10763,13192,1732,125103,11393,13772,1971,129262,9236,16662,814,249356,9167,16784,928,194338,9335,17029,1277,194345,8695,13336,1925,83367,9494,16054,1927,20066,9768,16898,0,17067,9461,16402,0,58099
MAZE,95SS23,1092,126,0,0,1243,76,0,0,1118,0,0,0,1057,0,0,0,971,0,0,0,1048,35,0,0,1354,75,4809,0,735,293,876,0,845,293,805,12,1342,52,4871,27,1314,20,4892,27,1225,0,4505,22,1181,54,4269,50,1188,174,4156,50,1243,0,0,0,1128,0,0,0
MILEBUSH,95HH12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MILFORD,95CC17,8456,4799,15,125044,8540,5667,0,128234,8965,5732,400,96450,8396,5601,1,115927,8797,5440,264,109850,8424,5613,629,124920,8680,6134,685,122670,7942,5702,2074,115098,7516,5760,2364,33916,8849,6165,241,58906,9035,7221,571,77326,9180,6776,481,77331,9189,7563,818,56037,9055,7992,239,67427,8877,8701,0,71817,9055,9979,1787,51912
MILLISLE,95BB18,2531,201,0,0,2647,201,1,0,2586,232,6,0,2850,232,10,0,2823,299,19,0,2395,299,3,0,2657,686,3,2000,3008,3729,0,0,3049,4142,0,15,2625,901,12068,30,2582,812,9787,20,2431,599,9929,101,2333,689,8029,101,2234,3227,7543,100,2457,4117,0,0,1939,3573,0,0
MINNOWBURN,95II18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOAT,95DD20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOIRA,95SS24,2994,1073,0,177500,2957,1110,0,193150,3062,1161,0,221150,2959,1214,0,314000,3003,1271,816,155000,2692,1147,1025,140000,3375,1275,907,166500,1441,1546,0,0,1685,1859,100,45020,3249,1481,1059,256000,3243,1569,994,240030,3348,1641,983,240000,3059,1841,944,227025,2952,1917,749,187032,3075,2386,0,0,2913,2240,0,0
MONEYMORE,95KK08,3511,3949,849,53288,3476,3888,861,52932,3294,3442,1320,52300,3268,3395,1123,43002,3413,3494,1048,70890,3420,3290,892,70230,3860,3521,797,18000,2750,6439,1243,0,3019,6695,1602,29,3892,3625,489,66008,3704,3710,667,26040,3714,3674,711,28926,3707,2998,230,25402,3588,4363,247,29054,3614,4369,0,31316,3465,4239,749,24575
MONEYREAGH,95II19,5437,913,0,0,5257,1017,580,0,5314,1151,644,0,5002,1076,743,0,5039,1075,848,0,5024,1123,847,800,5320,1068,708,2500,5173,3014,0,0,5163,3453,0,73,5714,2081,825,175,5640,1961,836,121,5560,2108,857,449,5327,2756,902,211,5699,2991,947,234,5034,2972,0,3618,5358,3187,0,287
MONKSTOWN,95WW21,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOSSLEY,95WW22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOSS-SIDE AND MOYARGET,95UU15,6729,14090,0,65000,6404,15199,0,38500,6646,15107,0,35000,6431,14823,0,37000,6685,14713,3,0,4789,14204,3,15000,4461,13473,0,14200,3376,19355,0,13400,3545,19182,0,25500,4915,14904,0,65528,4599,15114,0,65030,4439,15066,0,45008,4159,14501,0,45000,4213,15023,0,45000,3764,13334,0,0,4029,14730,0,0
MOUNT SANDEL,95JJ15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOURNEVIEW,95LL20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,163,146,0,0,185,146,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOVILLA,95BB19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOY,95OO19,5967,862,0,133500,5989,641,4,206698,5702,596,0,89500,5901,613,5,155700,6601,597,0,141000,5937,712,0,162700,5366,712,0,162700,3452,960,560,0,3459,1085,0,4,5389,602,40,82970,5756,542,216,42500,5470,536,326,43503,6059,510,452,44541,5809,583,178,18066,5556,630,0,0,5888,673,0,33134
MOYGASHEL,95OO20,3,3,3,3,124,0,0,165000,114,0,0,192325,96,0,0,201000,96,0,0,200200,118,0,0,245500,114,0,0,249200,1304,138,0,17000,1093,138,0,0,441,0,0,254754,437,0,0,249500,436,0,0,239000,303,0,0,170000,318,0,0,5004,794,0,0,0,421,0,0,0
MULLAGHMORE,95OO21,3,3,3,3,3,3,3,3,193,106,0,0,208,85,0,0,460,85,0,0,574,99,0,0,723,104,0,11580,391,61,0,12333,358,48,0,0,579,0,0,0,590,0,0,0,560,98,3205,0,708,98,0,0,778,113,2973,0,598,0,0,0,421,0,0,0
MURLOUGH,95NN17,1867,491,0,51163,1909,519,81,74000,1794,461,0,75000,1918,568,0,77000,1740,716,0,63000,1676,835,0,63500,1932,899,0,64000,1518,899,0,77000,1476,1012,0,1207,1288,1551,0,14,1272,1576,0,11,1256,1641,0,37,1305,1700,0,0,1338,1966,0,62,1117,1371,0,0,1193,1591,0,0
MUSGRAVE,95GG34,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW BUILDINGS,95MM21,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,868,0,0,0,790,0,0,0,0,0,0
NEW LODGE,95GG35,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWBUILDINGS,95KK09,250,211,0,13700,260,221,0,6000,250,221,0,6000,248,177,0,6000,303,155,0,6000,307,220,0,5880,310,292,0,6000,511,1401,0,6000,549,1726,0,35,454,420,0,0,213,669,0,0,198,529,0,0,561,191,0,0,235,768,0,0,506,418,0,0,576,0,0,0
NEWHILL,95EE12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWTOWNBREDA,95II20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWTOWNBUTLER,95PP19,9572,3768,0,183800,9480,3577,0,62122,10019,3472,0,123160,8955,2656,0,98028,8746,2436,0,96760,10214,2580,0,40450,10520,2659,0,99860,8807,2778,0,90351,9121,2893,0,62576,10850,2112,0,79056,10427,2344,0,108146,10431,2393,0,69353,10372,2626,0,105331,11180,4067,0,103021,10896,4489,0,37719,11017,4811,0,76048
NEWTOWNHAMILTON,95VV22,14162,5746,8,117474,14749,5827,34,83623,14498,5794,278,64697,13210,5158,458,82746,13162,5320,453,73950,14577,5011,459,108870,15131,4989,283,123710,19200,8436,540,210980,18916,8443,511,180182,13253,5710,476,99353,13456,5958,672,101760,13134,5674,4784,93034,14254,7301,785,94085,13929,7229,819,83008,15037,7820,1146,71428,15233,8467,742,71167
NEWTOWNSAVILLE,95YY16,12129,9031,4974,195367,11617,7928,4365,191346,11662,7696,3295,416373,11329,6784,4606,217581,11554,6197,3264,168990,11681,7205,3362,271080,12611,7883,4129,239530,10581,6340,5686,173600,10490,7256,6666,58577,13169,7179,4357,43235,12483,6851,4052,65788,12242,7269,4445,60833,12561,8560,4256,78546,12156,11115,2792,41080,12749,12296,3682,65181,12599,13414,3803,29684
NEWTOWNSTEWART,95ZZ09,4843,7016,419,15021,4543,7893,353,15021,4717,9248,316,15021,4671,9066,319,99000,5118,8097,388,14020,4597,8200,331,14150,4725,7758,294,1030,2097,9992,0,0,2269,11811,0,8,5164,12241,492,31,5014,13437,425,27,4643,12999,405,31,4484,11797,304,29,4595,15789,250,28,4989,16130,0,0,4964,19639,0,0
NORTH,95ZZ10,644,651,14,0,922,690,0,0,934,623,0,0,996,534,0,0,970,524,0,0,984,626,0,0,712,555,0,0,610,1190,0,0,701,1189,0,0,1434,946,0,52,1198,973,0,64,1175,1054,0,102,1230,963,134,185,1432,1561,0,185,731,1017,0,0,1314,0,0,0
NORTHLAND,95HH13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
